Name,Team,Time
Britain Reynolds,Utah Valley University,14:54.60
Jason Lynch,Unattached,14:59.00
Zachary Montoya,Idaho State University XC,15:15.60
Jacob Francis,Southern Utah University,15:22.20
Coleman Cragun,Southern Utah University,15:23.00
Hawk Call,Utah Valley University,15:24.00
Max Spence,Southern Utah University,15:25.60
Hayden Harward,Southern Utah University,15:27.70
Max Mahone,Utah Valley University,15:31.50
Kevin Ramos,Southern Utah University,15:31.60
Jared Gonzalez-Perez,Unattached,15:35.50
Austin Hone,Utah Valley University,15:40.60
Kevin Kirk,Dixie State University,15:44.10
Collin Dylla,Idaho State University XC,15:44.60
Kale Sharp,Utah Valley University,15:45.90
Joe Benson,Utah Valley University,15:46.60
Jiraa Riding,Southern Utah University,15:57.00
Nicholas Roach,Dixie State University,15:59.00
Nick Siddoway,Unattached,15:59.30
Max Burton,Utah Valley University,16:04.80
Josh Peters,Utah Valley University,16:05.20
Cameron Jacobs,Utah Valley University,16:05.80
Habs Cheney,Utah Valley University,16:06.80
Ben Brooks,Southern Utah University,16:10.60
Jiree Riding,Southern Utah University,16:11.50
AJ Rowland,Southern Utah University,16:12.30
Brian Schulz,Dixie State University,16:13.00
Rex Martin,Dixie State University,16:14.00
Max Jones,Southern Utah University,16:14.60
Adam Bunker,Unattached,16:20.70
Kallen Webster,Dixie State University,16:22.20
Noah Ayala,Dixie State University,16:22.70
Evan Harris,Unattached,16:28.50
Anthony Ocegueda,Utah Valley University,16:30.90
Simon Mitchell,Unattached,16:35.00
Andrew Blackham,Utah Valley University,16:40.20
Logan Anderson,Utah Valley University,16:53.20
Bridger Isbell,Utah Valley University,16:59.30
Ben Fish,Dixie State University,17:02.00
Andrew Allen,Dixie State University,17:03.90
Quinton Read,Dixie State University,17:10.90
Brandon Walker,Idaho State University XC,17:22.20
Matthew Berry,Utah Valley University,17:26.30
Jima Rout,Utah Valley University,17:27.60
Ricky Aponte,Unattached,17:32.00
Cole Havens,Utah Valley University,17:46.40
Eric Christen,Idaho State University XC,17:51.80
Julien Canales,Dixie State University,17:54.10
